"Title","Wardname","Partyname","Surname","Forename","Votes","Elected","Electorate","Turnout","Electiontype","Electionyear","SpoiltPapers"
"ElectionResults","Armley","Labour Party","McKenna","James",2632,"TRUE",16704,26.8,"Local",2018,11
"ElectionResults","Armley","The For Britain Movement","Miller","James Edward",261,"FALSE",16704,26.8,"Local",2018,11
"ElectionResults","Armley","Conservative Party Candidate","Murphy-Fell","Robert Raymond",522,"FALSE",16704,26.8,"Local",2018,11
"ElectionResults","Armley","Labour Party","Smart","Alice Ellen Schofield",2747,"TRUE",16704,26.8,"Local",2018,11
"ElectionResults","Armley","Conservative Party Candidate","Tinsley","Nicola Louise",565,"FALSE",16704,26.8,"Local",2018,11
"ElectionResults","Armley","Liberal Democrats","Walker","Dan",387,"FALSE",16704,26.8,"Local",2018,11
"ElectionResults","Armley","Democrats and Veterans Party","Withill","John Paul",184,"FALSE",16704,26.8,"Local",2018,11
"ElectionResults","Beeston and Holbeck","Labour Party","Almas","Gohar",2471,"TRUE",16927,28.8,"Local",2018,12
"ElectionResults","Beeston and Holbeck","Save Our Beeston & Holbeck Independents","Birch","Bill",1281,"FALSE",16927,28.8,"Local",2018,12
"ElectionResults","Beeston and Holbeck","Green Party","Brear","Owen Arthur David",343,"FALSE",16927,28.8,"Local",2018,12
"ElectionResults","Beeston and Holbeck","Conservative Party Candidate","Buckley","Lyn Jean",464,"FALSE",16927,28.8,"Local",2018,12
"ElectionResults","Beeston and Holbeck","Liberal Democrats","Durdin","Robert William Fraser",159,"FALSE",16927,28.8,"Local",2018,12
"ElectionResults","Beeston and Holbeck","Labour Party","Gabriel","Angela",2593,"TRUE",16927,28.8,"Local",2018,12
"ElectionResults","Beeston and Holbeck","Liberal Democrats","Gaines","Jarrod Anthony",197,"FALSE",16927,28.8,"Local",2018,12
"ElectionResults","Beeston and Holbeck","Conservative Party Candidate","Robertson","Ian",395,"FALSE",16927,28.8,"Local",2018,12
"ElectionResults","Beeston and Holbeck","Labour Party","Scopes","Andrew Timothy",2257,"TRUE",16927,28.8,"Local",2018,12
"ElectionResults","Beeston and Holbeck","Save Our Beeston and Holbeck Independents","Sturman","Sean Patrick",1250,"FALSE",16927,28.8,"Local",2018,12
"ElectionResults","Beeston and Holbeck","Save Our Beeston and Holbeck Independents","Walton","Laura Elizabeth",1269,"FALSE",16927,28.8,"Local",2018,12
"ElectionResults","Beeston and Holbeck","Conservative Party Candidate","Winfield","Robert James William",495,"FALSE",16927,28.8,"Local",2018,12
"ElectionResults","Bramley and Stanningley","Liberal Democrats","Bee","Elizabeth Anne",528,"FALSE",16923,26.2,"Local",2018,14
"ElectionResults","Bramley and Stanningley","Conservative Party Candidate","Caprariu","Ovidiu",772,"FALSE",16923,26.2,"Local",2018,14
"ElectionResults","Bramley and Stanningley","Labour Party","Gruen","Caroline Anne",2560,"TRUE",16923,26.2,"Local",2018,14
"ElectionResults","Bramley and Stanningley","Labour Party","Heselwood","Julie Caroline",2529,"TRUE",16923,26.2,"Local",2018,14
"ElectionResults","Bramley and Stanningley","Conservative Party Candidate","Hunt","Neil Richard",692,"FALSE",16923,26.2,"Local",2018,14
"ElectionResults","Bramley and Stanningley","Green Party","Lord","Clive Richard",573,"FALSE",16923,26.2,"Local",2018,14
"ElectionResults","Bramley and Stanningley","The For Britain Movement","Murgatroyd","Anne",489,"FALSE",16923,26.2,"Local",2018,14
"ElectionResults","Bramley and Stanningley","Conservative Party Candidate","Nancolas","Alexander Sebastian",710,"FALSE",16923,26.2,"Local",2018,14
"ElectionResults","Bramley and Stanningley","Labour Party","Ritchie","Kevin Mark",2905,"TRUE",16923,26.2,"Local",2018,14
"ElectionResults","Burmantofts and Richmond Hill","Labour Party","Grahame","Ron",2756,"TRUE",16291,24.8,"Local",2018,21
"ElectionResults","Burmantofts and Richmond Hill","Liberal Democrats","Hollingsworth","David Ewan",613,"FALSE",16291,24.8,"Local",2018,21
"ElectionResults","Burmantofts and Richmond Hill","East Leeds Independents Party","Holloran","Geoff",678,"FALSE",16291,24.8,"Local",2018,21
"ElectionResults","Burmantofts and Richmond Hill","Labour Party","Khan","Asghar",2577,"TRUE",16291,24.8,"Local",2018,21
"ElectionResults","Burmantofts and Richmond Hill","Conservative Party Candidate","Lord","Peter",327,"FALSE",16291,24.8,"Local",2018,21
"ElectionResults","Burmantofts and Richmond Hill","Green Party","Marchant","Paul Richard",428,"FALSE",16291,24.8,"Local",2018,21
"ElectionResults","Burmantofts and Richmond Hill","Conservative Party Candidate","Passingham","Alexander John",363,"FALSE",16291,24.8,"Local",2018,21
"ElectionResults","Burmantofts and Richmond Hill","Labour Party","Ragan","Denise",2442,"TRUE",16291,24.8,"Local",2018,21
"ElectionResults","Burmantofts and Richmond Hill","Conservative Party Candidate","Rogers","Robin Michael",294,"FALSE",16291,24.8,"Local",2018,21
"ElectionResults","Calverley and Farsley","Labour Party","Alam","Naheem Akhtar",2483,"FALSE",18194,40.6,"Local",2018,13
"ElectionResults","Calverley and Farsley","Liberal Democrats","Arbuckle","Kate",387,"FALSE",18194,40.6,"Local",2018,13
"ElectionResults","Calverley and Farsley","Labour Party","Carlill","Peter John",3086,"TRUE",18194,40.6,"Local",2018,13
"ElectionResults","Calverley and Farsley","Conservative Party Candidate","Carter","Amanda Lesley",3716,"TRUE",18194,40.6,"Local",2018,13
"ElectionResults","Calverley and Farsley","Conservative Party Candidate","Carter","Andrew",3972,"TRUE",18194,40.6,"Local",2018,13
"ElectionResults","Calverley and Farsley","Liberal Democrats","Chastney","Benedict Luke",190,"FALSE",18194,40.6,"Local",2018,13
"ElectionResults","Calverley and Farsley","Green Party","Graham","Ellen Jean",733,"FALSE",18194,40.6,"Local",2018,13
"ElectionResults","Calverley and Farsley","Liberal Democrats","Jacques","Robert Hugh",220,"FALSE",18194,40.6,"Local",2018,13
"ElectionResults","Calverley and Farsley","Labour Party","Sharpe","Nicole",2597,"FALSE",18194,40.6,"Local",2018,13
"ElectionResults","Calverley and Farsley","Conservative Party Candidate","Wood","Roderic",3039,"FALSE",18194,40.6,"Local",2018,13
"ElectionResults","Chapel Allerton","Conservative Party Candidate","Black","Kevin Irving",672,"FALSE",17927,38.1,"Local",2018,17
"ElectionResults","Chapel Allerton","Alliance for Green Socialism","Davies","Mike",379,"FALSE",17927,38.1,"Local",2018,17
"ElectionResults","Chapel Allerton","Labour Party","Dowson","Jane Alice",4708,"TRUE",17927,38.1,"Local",2018,17
"ElectionResults","Chapel Allerton","Conservative Party Candidate","Feldman","Linda Marilyn",604,"FALSE",17927,38.1,"Local",2018,17
"ElectionResults","Chapel Allerton","Liberal Democrats","Harris","Susan Alison",608,"FALSE",17927,38.1,"Local",2018,17
"ElectionResults","Chapel Allerton","Green Party","Merton-Scott","Justine",907,"FALSE",17927,38.1,"Local",2018,17
"ElectionResults","Chapel Allerton","Conservative Party Candidate","Myers","David Bernard",565,"FALSE",17927,38.1,"Local",2018,17
"ElectionResults","Chapel Allerton","Labour Party","Rafique","Mohammed",4728,"TRUE",17927,38.1,"Local",2018,17
"ElectionResults","Chapel Allerton","Labour Party","Taylor","Eileen",4809,"TRUE",17927,38.1,"Local",2018,17
"ElectionResults","Chapel Allerton","Green Party","Walker","Bobak",703,"FALSE",17927,38.1,"Local",2018,17
"ElectionResults","Cross Gates and Whinmoor","UK Independence Party (UKIP)","Alexander","Harvey Cedric",519,"FALSE",18247,31.8,"Local",2018,8
"ElectionResults","Cross Gates and Whinmoor","Green Party","Fellows","Elizabeth Susan Halpin",557,"FALSE",18247,31.8,"Local",2018,8
"ElectionResults","Cross Gates and Whinmoor","Labour Party","Grahame","Pauleen Margaret",2815,"TRUE",18247,31.8,"Local",2018,8
"ElectionResults","Cross Gates and Whinmoor","Labour Party","Gruen","Peter John",2501,"TRUE",18247,31.8,"Local",2018,8
"ElectionResults","Cross Gates and Whinmoor","Conservative Party Candidate","Hayes","Paula Louise",1340,"FALSE",18247,31.8,"Local",2018,8
"ElectionResults","Cross Gates and Whinmoor","Labour Party","Lennox","Jessica Beth",2175,"TRUE",18247,31.8,"Local",2018,8
"ElectionResults","Cross Gates and Whinmoor","Democrats and Veterans Party","Maniatt","Mark Stephen",261,"FALSE",18247,31.8,"Local",2018,8
"ElectionResults","Cross Gates and Whinmoor","Conservative Party Candidate","Martin","Andrew Stuart",1142,"FALSE",18247,31.8,"Local",2018,8
"ElectionResults","Cross Gates and Whinmoor","UK Independence Party (UKIP)","Morgan","Peter",414,"FALSE",18247,31.8,"Local",2018,8
"ElectionResults","Cross Gates and Whinmoor","The For Britain Movement","Nicholson","Stuart Neil",238,"FALSE",18247,31.8,"Local",2018,8
"ElectionResults","Cross Gates and Whinmoor","Conservative Party Candidate","Schofield","Dorothy",1485,"FALSE",18247,31.8,"Local",2018,8
"ElectionResults","Cross Gates and Whinmoor","Liberal Democrats","Shakespeare","Thomas Andrew",340,"FALSE",18247,31.8,"Local",2018,8
"ElectionResults","Cross Gates and Whinmoor","East Leeds Independents Party","Walker","Janette",1525,"FALSE",18247,31.8,"Local",2018,8
"ElectionResults","Farnley and Wortley","Green Party","Blackburn","Ann",2461,"TRUE",17956,30.2,"Local",2018,8
"ElectionResults","Farnley and Wortley","Green Party","Blackburn","David",2424,"TRUE",17956,30.2,"Local",2018,8
"ElectionResults","Farnley and Wortley","Conservative Party Candidate","Flynn","Dorothy",643,"FALSE",17956,30.2,"Local",2018,8
"ElectionResults","Farnley and Wortley","Labour Party","Gibson","Matt",2151,"TRUE",17956,30.2,"Local",2018,8
"ElectionResults","Farnley and Wortley","Green Party","Haley","Stuart James",1984,"FALSE",17956,30.2,"Local",2018,8
"ElectionResults","Farnley and Wortley","Conservative Party Candidate","Hardcastle","John Richard",615,"FALSE",17956,30.2,"Local",2018,8
"ElectionResults","Farnley and Wortley","Labour Party","McKenna","Andrea Susan",1991,"FALSE",17956,30.2,"Local",2018,8
"ElectionResults","Farnley and Wortley","The For Britain Movement","Melia","Sam",162,"FALSE",17956,30.2,"Local",2018,8
"ElectionResults","Farnley and Wortley","Conservative Party Candidate","Nancolas","Hayley Laura",685,"FALSE",17956,30.2,"Local",2018,8
"ElectionResults","Farnley and Wortley","Labour Party","Parnham","Andy",1989,"FALSE",17956,30.2,"Local",2018,8
"ElectionResults","Farnley and Wortley","Liberal Democrats","Spencer","Rosemary Claire",160,"FALSE",17956,30.2,"Local",2018,8
"ElectionResults","Garforth and Swillington","Conservative Party Candidate","Blunt","Joseph Samuel",1358,"FALSE",16203,49.7,"Local",2018,8
"ElectionResults","Garforth and Swillington","The For Britain Movement","Bolton","Michael Edward",168,"FALSE",16203,49.7,"Local",2018,8
"ElectionResults","Garforth and Swillington","Labour Party","Midgley","Mirelle",1354,"FALSE",16203,49.7,"Local",2018,8
"ElectionResults","Garforth and Swillington","Garforth and Swillington Independents Party","Dobson","Mark David",5377,"TRUE",16203,49.7,"Local",2018,8
"ElectionResults","Garforth and Swillington","Garforth and Swillington Independents Party","Field","Sarah Jane",4738,"TRUE",16203,49.7,"Local",2018,8
"ElectionResults","Garforth and Swillington","Liberal Democrats","Golton","Christine Mavis",190,"FALSE",16203,49.7,"Local",2018,8
"ElectionResults","Garforth and Swillington","Labour Party","Maloney","Annie",1512,"FALSE",16203,49.7,"Local",2018,8
"ElectionResults","Garforth and Swillington","Garforth and Swillington Independents Party","McCormack","Suzanne Jane",4361,"TRUE",16203,49.7,"Local",2018,8
"ElectionResults","Garforth and Swillington","Labour Party","Pratt","Mark",1505,"FALSE",16203,49.7,"Local",2018,8
"ElectionResults","Garforth and Swillington","Conservative Party Candidate","Richards","Linda Judith",1311,"FALSE",16203,49.7,"Local",2018,8
"ElectionResults","Garforth and Swillington","Conservative Party Candidate","Young","Jordan Luke",1181,"FALSE",16203,49.7,"Local",2018,8
"ElectionResults","Gipton and Harehills","Labour Party","Arif","Salma",4020,"TRUE",16564,31.3,"Local",2018,19
"ElectionResults","Gipton and Harehills","Trade Unionist and Socialist Coalition","Dalton","Iain Alaistair",357,"FALSE",16564,31.3,"Local",2018,19
"ElectionResults","Gipton and Harehills","Liberal Democrats","Farrar","Heidi Michelle",370,"FALSE",16564,31.3,"Local",2018,19
"ElectionResults","Gipton and Harehills","Conservative Party Candidate","Harris","Robert Daniel Winston",411,"FALSE",16564,31.3,"Local",2018,19
"ElectionResults","Gipton and Harehills","Labour Party","Hussain","Arif",3797,"TRUE",16564,31.3,"Local",2018,19
"ElectionResults","Gipton and Harehills","Conservative Party Candidate","Labbee","Matthew Jaycob Rowe",323,"FALSE",16564,31.3,"Local",2018,19
"ElectionResults","Gipton and Harehills","Labour Party","Maqsood","Kamila",3524,"TRUE",16564,31.3,"Local",2018,19
"ElectionResults","Gipton and Harehills","Green Party","Noble","Colin Lindsay",394,"FALSE",16564,31.3,"Local",2018,19
"ElectionResults","Gipton and Harehills","Independent","Sheikh","Shaff",269,"FALSE",16564,31.3,"Local",2018,19
"ElectionResults","Gipton and Harehills","Conservative Party Candidate","Singh","Vajinder",218,"FALSE",16564,31.3,"Local",2018,19
"ElectionResults","Guiseley and Rawdon","Liberal Democrats","Bavage","Katherine Rebecca Henrietta",350,"FALSE",18495,42.3,"Local",2018,7
"ElectionResults","Guiseley and Rawdon","The Yorkshire Party","Buxton","Bob",1530,"FALSE",18495,42.3,"Local",2018,7
"ElectionResults","Guiseley and Rawdon","Liberal Democrats","Dowling","Cynthia May",401,"FALSE",18495,42.3,"Local",2018,7
"ElectionResults","Guiseley and Rawdon","Liberal Democrats","Edwards","Michael David",396,"FALSE",18495,42.3,"Local",2018,7
"ElectionResults","Guiseley and Rawdon","Conservative Party Candidate","Latty","Graham Naylor",3714,"TRUE",18495,42.3,"Local",2018,7
"ElectionResults","Guiseley and Rawdon","Conservative Party Candidate","Latty","Pat",3483,"TRUE",18495,42.3,"Local",2018,7
"ElectionResults","Guiseley and Rawdon","Labour and Co-operative Party","McCargo","Ian Joseph",2395,"FALSE",18495,42.3,"Local",2018,7
"ElectionResults","Guiseley and Rawdon","Labour and Co-operative Party","McKay","Kirsty",2693,"FALSE",18495,42.3,"Local",2018,7
"ElectionResults","Guiseley and Rawdon","Green Party - Save Our Green Space","Rollinson","Mark Terence",1326,"FALSE",18495,42.3,"Local",2018,7
"ElectionResults","Guiseley and Rawdon","Labour and Co-operative Party","Thomson","Andrew Joseph",2597,"FALSE",18495,42.3,"Local",2018,7
"ElectionResults","Guiseley and Rawdon","Conservative Party Candidate","Wadsworth","Paul John Spencer",3286,"TRUE",18495,42.3,"Local",2018,7
"ElectionResults","Harewood","Liberal Democrats","Cook","Dan",852,"FALSE",14949,41.6,"Local",2018,12
"ElectionResults","Harewood","Green Party","Corry","David Thomas",918,"FALSE",14949,41.6,"Local",2018,12
"ElectionResults","Harewood","Labour Party","Duthie","Adrian Robert Stewart",1126,"FALSE",14949,41.6,"Local",2018,12
"ElectionResults","Harewood","Conservative Party Candidate","Firth","Samuel James",4039,"TRUE",14949,41.6,"Local",2018,12
"ElectionResults","Harewood","Labour Party","Noor","Zahid",757,"FALSE",14949,41.6,"Local",2018,12
"ElectionResults","Harewood","Conservative Party Candidate","Robinson","Matthew James",4461,"TRUE",14949,41.6,"Local",2018,12
"ElectionResults","Harewood","Labour Party","Stainburn","Kathryn",912,"FALSE",14949,41.6,"Local",2018,12
"ElectionResults","Harewood","Conservative Party Candidate","Stephenson","Ryan",4003,"TRUE",14949,41.6,"Local",2018,12
"ElectionResults","Headingley and Hyde Park","Liberal Democrats","Andrews","Peter Richard",351,"FALSE",20145,23,"Local",2018,12
"ElectionResults","Headingley and Hyde Park","Green Party third choice candidate","Anstead","Liberty Cheri Isabel",643,"FALSE",20145,23,"Local",2018,12
"ElectionResults","Headingley and Hyde Park","Conservative Party Candidate","Earley","Justin Dennis James",201,"FALSE",20145,23,"Local",2018,12
"ElectionResults","Headingley and Hyde Park","Trade Unionist and Socialist Coalition","Ellis","James Alan",78,"FALSE",20145,23,"Local",2018,12
"ElectionResults","Headingley and Hyde Park","Green Party second choice candidate","Forsaith","Ann Christine",576,"FALSE",20145,23,"Local",2018,12
"ElectionResults","Headingley and Hyde Park","Labour Party","Garthwaite","Al",2999,"TRUE",20145,23,"Local",2018,12
"ElectionResults","Headingley and Hyde Park","Conservative Party Candidate","Gledhill","Michael Ernest",205,"FALSE",20145,23,"Local",2018,12
"ElectionResults","Headingley and Hyde Park","Green Party lead candidate","Goodall","Tim",1270,"FALSE",20145,23,"Local",2018,12
"ElectionResults","Headingley and Hyde Park","Liberal Democrats","Goodman","Penny",488,"FALSE",20145,23,"Local",2018,12
"ElectionResults","Headingley and Hyde Park","Conservative Party Candidate","Green","Kyle Jameson",191,"FALSE",20145,23,"Local",2018,12
"ElectionResults","Headingley and Hyde Park","Liberal Democrats","Hawthorne","Murray MacGregor",276,"FALSE",20145,23,"Local",2018,12
"ElectionResults","Headingley and Hyde Park","Women`s Equality Party","Jennings","Louise Mary",394,"FALSE",20145,23,"Local",2018,12
"ElectionResults","Headingley and Hyde Park","Labour Party","Pryor","Jonathan David",3126,"TRUE",20145,23,"Local",2018,12
"ElectionResults","Headingley and Hyde Park","Labour Party","Walshaw","Neil Anthony",2694,"TRUE",20145,23,"Local",2018,12
"ElectionResults","Horsforth","Labour Party","Bethesda","Nathalie Ann",2208,"FALSE",17539,43.8,"Local",2018,11
"ElectionResults","Horsforth","Conservative Party Candidate","Collins","Dawn Julia",3195,"TRUE",17539,43.8,"Local",2018,11
"ElectionResults","Horsforth","Liberal Democrats","Dowling","Simon Mark",1976,"FALSE",17539,43.8,"Local",2018,11
"ElectionResults","Horsforth","Labour Party","Garvani","John",2453,"FALSE",17539,43.8,"Local",2018,11
"ElectionResults","Horsforth","Liberal Democrats","Heaviside","Becky",1903,"FALSE",17539,43.8,"Local",2018,11
"ElectionResults","Horsforth","Liberal Democrats","Read","Christopher Michael",1288,"FALSE",17539,43.8,"Local",2018,11
"ElectionResults","Horsforth","Conservative Party Candidate","Shemilt","Jackie",2660,"TRUE",17539,43.8,"Local",2018,11
"ElectionResults","Horsforth","Labour Party","Sloan","Briony Ann",2380,"FALSE",17539,43.8,"Local",2018,11
"ElectionResults","Horsforth","Conservative Party Candidate","Taylor","Jonathon David",2770,"TRUE",17539,43.8,"Local",2018,11
"ElectionResults","Horsforth","Green Party - Save Our Green Space","Tomes","Caroline",1132,"FALSE",17539,43.8,"Local",2018,11
"ElectionResults","Hunslet and Riverside","Green Party lead candidate","Carlisle","Ed",1740,"FALSE",16702,27.4,"Local",2018,13
"ElectionResults","Hunslet and Riverside","Green Party second choice candidate","Goncalves","Eunice Helena Dos Santos Almeida Barbosa Vicente",1024,"FALSE",16702,27.4,"Local",2018,13
"ElectionResults","Hunslet and Riverside","Green Party third choice candidate","Hall","Alaric Timothy Peter",931,"FALSE",16702,27.4,"Local",2018,13
"ElectionResults","Hunslet and Riverside","Labour Party","Iqbal","Mohammed",2391,"TRUE",16702,27.4,"Local",2018,13
"ElectionResults","Hunslet and Riverside","Labour Party","Nash","Elizabeth Anne",2399,"TRUE",16702,27.4,"Local",2018,13
"ElectionResults","Hunslet and Riverside","Conservative Party Candidate","Salt","Richard Mark",409,"FALSE",16702,27.4,"Local",2018,13
"ElectionResults","Hunslet and Riverside","Independent","Saunders","Kenny",340,"FALSE",16702,27.4,"Local",2018,13
"ElectionResults","Hunslet and Riverside","Conservative Party Candidate","Smith","Scott David Ian",384,"FALSE",16702,27.4,"Local",2018,13
"ElectionResults","Hunslet and Riverside","Liberal Democrats","Spencer","James Michael",176,"FALSE",16702,27.4,"Local",2018,13
"ElectionResults","Hunslet and Riverside","Conservative Party Candidate","Wheeler","Michael Edward John",342,"FALSE",16702,27.4,"Local",2018,13
"ElectionResults","Hunslet and Riverside","Labour Party","Wray","Paul Ian",2132,"TRUE",16702,27.4,"Local",2018,13
"ElectionResults","Killingbeck and Seacroft","Conservative Party Candidate","Coen","Marilyn Ann",619,"FALSE",16989,25.7,"Local",2018,17
"ElectionResults","Killingbeck and Seacroft","East Leeds Independents Party","Dobson","Catherine Frances",1005,"FALSE",16989,25.7,"Local",2018,17
"ElectionResults","Killingbeck and Seacroft","Labour Party","Drinkwater","Paul",2718,"TRUE",16989,25.7,"Local",2018,17
"ElectionResults","Killingbeck and Seacroft","Labour Party","Dye","Katie",2585,"TRUE",16989,25.7,"Local",2018,17
"ElectionResults","Killingbeck and Seacroft","Labour Party","Jenkins","David John",2602,"TRUE",16989,25.7,"Local",2018,17
"ElectionResults","Killingbeck and Seacroft","Liberal Democrats","Langwick","Kate Elizabeth",389,"FALSE",16989,25.7,"Local",2018,17
"ElectionResults","Killingbeck and Seacroft","The Yorkshire Party","Otley","John",538,"FALSE",16989,25.7,"Local",2018,17
"ElectionResults","Killingbeck and Seacroft","Conservative Party Candidate","Palmer","Anne Boyd",478,"FALSE",16989,25.7,"Local",2018,17
"ElectionResults","Killingbeck and Seacroft","Conservative Party Candidate","Robertson","Fiona Ann",445,"FALSE",16989,25.7,"Local",2018,17
"ElectionResults","Kippax and Methley","Green Party","Brown","Dylan",758,"FALSE",16398,32.87,"Local",2018,5
"ElectionResults","Kippax and Methley","Conservative Party Candidate","Calvert","Chris",1355,"FALSE",16398,32.87,"Local",2018,5
"ElectionResults","Kippax and Methley","Conservative Party Candidate","Fawcett","Nicholas Peter Philip",1348,"FALSE",16398,32.87,"Local",2018,5
"ElectionResults","Kippax and Methley","Liberal Democrats","Galdas","Mitchell",382,"FALSE",16398,32.87,"Local",2018,5
"ElectionResults","Kippax and Methley","Labour Party","Harland","Mary Elizabeth",3135,"TRUE",16398,32.87,"Local",2018,5
"ElectionResults","Kippax and Methley","Labour Party","Lewis","James",3027,"TRUE",16398,32.87,"Local",2018,5
"ElectionResults","Kippax and Methley","UK Independence Party (UKIP)","Shippey","Sheila",323,"FALSE",16398,32.87,"Local",2018,5
"ElectionResults","Kippax and Methley","UK Independence Party (UKIP)","Smith","Tina Janette",474,"FALSE",16398,32.87,"Local",2018,5
"ElectionResults","Kippax and Methley","UK Independence Party (UKIP)","Spivey","Paul Anthony",439,"FALSE",16398,32.87,"Local",2018,5
"ElectionResults","Kippax and Methley","Labour Party","Wakefield","Keith Ivor",2856,"TRUE",16398,32.87,"Local",2018,5
"ElectionResults","Kippax and Methley","Conservative Party Candidate","Wheldon","Tess",1049,"FALSE",16398,32.87,"Local",2018,5
"ElectionResults","Kirkstall","Conservative Party Candidate","Amin","Amaad Mohammed",471,"FALSE",16587,32.2,"Local",2018,10
"ElectionResults","Kirkstall","Labour Party","Bithell","Hannah Louise",3977,"TRUE",16587,32.2,"Local",2018,10
"ElectionResults","Kirkstall","Liberal Democrats","Frank","Maria Anne",445,"FALSE",16587,32.2,"Local",2018,10
"ElectionResults","Kirkstall","Green Party","Goldthorp","Ben",978,"FALSE",16587,32.2,"Local",2018,10
"ElectionResults","Kirkstall","Labour Party","Illingworth","John Anthony",3634,"TRUE",16587,32.2,"Local",2018,10
"ElectionResults","Kirkstall","Conservative Party Candidate","Kenrick-Bailey","Liam Michael",645,"FALSE",16587,32.2,"Local",2018,10
"ElectionResults","Kirkstall","Conservative Party Candidate","Nicolaou","Eleni",454,"FALSE",16587,32.2,"Local",2018,10
"ElectionResults","Kirkstall","Labour Party","Venner","Fiona Elizabeth",3850,"TRUE",16587,32.2,"Local",2018,10
"ElectionResults","Little London and Woodhouse","Labour Party","Akhtar","Javaid",2415,"TRUE",19256,15.6,"Local",2018,13
